id_transaccion,id_cliente,id_producto,fecha_venta,monto,metodo_pago
1,2,105,2026-06-02,225.98,Tarjeta
2,7,103,2026-06-08,462.09,Tarjeta
3,7,107,2026-06-11,293.94,Efectivo
4,12,101,2026-06-10,240.09,Efectivo
5,9,105,2026-06-03,17.63,Efectivo
6,17,107,2026-06-06,20.1,Tarjeta
7,17,101,2026-06-07,74.02,Transferencia
8,8,109,2026-06-03,233.5,Transferencia
9,10,100,2026-06-03,208.23,Efectivo
10,17,100,2026-06-02,189.94,Tarjeta
11,10,103,2026-06-09,451.14,Tarjeta
12,9,104,2026-06-05,149.83,Tarjeta
13,15,101,2026-06-11,387.55,Tarjeta
14,4,104,2026-06-03,324.34,Transferencia
15,9,105,2026-06-09,413.41,Tarjeta
16,4,103,2026-06-12,20.34,Tarjeta
17,15,104,2026-06-04,363.23,Efectivo
18,8,107,2026-06-02,89.74,Efectivo
19,10,109,2026-06-10,488.7,Transferencia
20,20,108,2026-06-09,265.43,Transferencia
21,1,107,2026-06-07,317.18,Tarjeta
22,5,106,2026-06-11,121.91,Tarjeta
23,17,107,2026-06-03,33.32,Transferencia
24,1,104,2026-06-08,240.6,Efectivo
25,10,102,2026-06-08,252.49,Efectivo
26,18,106,2026-06-03,410.72,Efectivo
27,19,100,2026-06-07,109.05,Tarjeta
28,20,107,2026-06-09,394.99,Transferencia
29,6,102,2026-06-04,34.54,Tarjeta
30,3,109,2026-06-11,173.17,Efectivo
31,12,103,2026-06-09,487.93,Transferencia
32,18,108,2026-06-07,270.77,Efectivo
33,2,108,2026-06-11,414.84,Transferencia
34,11,110,2026-06-02,31.81,Efectivo
35,5,104,2026-06-11,40.64,Tarjeta
36,6,108,2026-06-04,158.35,Tarjeta
37,14,101,2026-06-09,212.04,Efectivo
38,5,104,2026-06-11,78.85,Transferencia
39,13,108,2026-06-11,421.8,Tarjeta
40,19,104,2026-06-05,184.85,Transferencia
41,11,110,2026-06-10,327.81,Efectivo
42,2,102,2026-06-04,268.54,Efectivo
43,14,110,2026-06-12,405.46,Transferencia
44,1,110,2026-06-12,61.45,Transferencia
45,1,104,2026-06-08,32.41,Transferencia
46,7,106,2026-06-08,369.2,Transferencia
47,8,102,2026-06-08,320.26,Transferencia
48,5,105,2026-06-04,58.56,Efectivo
49,3,110,2026-06-08,195.74,Transferencia
50,7,108,2026-06-03,317.02,Efectivo
51,11,102,2026-06-02,459.18,Transferencia
52,14,107,2026-06-09,88.75,Tarjeta
53,3,101,2026-06-07,404.11,Efectivo
54,1,106,2026-06-08,349.38,Tarjeta
55,3,100,2026-06-02,200.0,Efectivo
56,9,108,2026-06-06,490.99,Efectivo
57,8,100,2026-06-06,480.24,Transferencia
58,7,109,2026-06-11,246.39,Transferencia
59,2,103,2026-06-09,54.62,Tarjeta
60,5,109,2026-06-06,41.89,Tarjeta
61,2,108,2026-06-08,24.97,Efectivo
62,10,109,2026-06-03,251.78,Efectivo
63,18,109,2026-06-06,110.91,Transferencia
64,6,103,2026-06-10,469.17,Tarjeta
65,10,101,2026-06-08,288.26,Tarjeta
66,4,103,2026-06-11,64.11,Transferencia
67,19,106,2026-06-08,274.97,Efectivo
68,3,104,2026-06-06,186.82,Transferencia
69,8,110,2026-06-12,440.29,Transferencia
70,20,100,2026-06-05,179.03,Efectivo
71,14,110,2026-06-09,493.25,Efectivo
72,14,106,2026-06-08,432.62,Tarjeta
73,5,109,2026-06-10,112.76,Efectivo
74,1,110,2026-06-04,323.53,Efectivo
75,8,103,2026-06-07,222.12,Efectivo
76,20,105,2026-06-03,73.68,Transferencia
77,8,108,2026-06-08,208.93,Efectivo
78,3,102,2026-06-06,34.22,Tarjeta
79,13,103,2026-06-10,39.27,Tarjeta
80,13,108,2026-06-09,42.99,Tarjeta
81,4,106,2026-06-12,412.95,Tarjeta
82,6,103,2026-06-09,291.24,Transferencia
83,6,105,2026-06-12,329.79,Efectivo
84,15,108,2026-06-11,176.94,Tarjeta
85,11,105,2026-06-12,355.97,Efectivo
86,14,101,2026-06-02,48.49,Transferencia
87,13,106,2026-06-11,334.2,Transferencia
88,15,101,2026-06-06,138.05,Tarjeta
89,9,101,2026-06-08,94.29,Efectivo
90,6,109,2026-06-12,326.03,Efectivo
91,2,109,2026-06-04,286.58,Transferencia
92,17,102,2026-06-07,20.03,Transferencia
93,2,100,2026-06-02,57.18,Efectivo
94,19,107,2026-06-09,243.49,Efectivo
95,19,106,2026-06-03,396.4,Transferencia
96,15,109,2026-06-10,478.58,Tarjeta
97,18,102,2026-06-11,204.86,Tarjeta
98,2,107,2026-06-12,267.03,Efectivo
99,15,107,2026-06-11,293.36,Tarjeta
100,14,105,2026-06-08,166.97,Tarjeta
