id_transaccion,id_cliente,id_producto,fecha_venta,monto,metodo_pago
1,18,109,2026-06-03,227.11,Tarjeta
2,3,107,2026-06-12,109.19,Tarjeta
3,15,106,2026-06-10,245.02,Efectivo
4,6,107,2026-06-06,266.26,Efectivo
5,19,104,2026-06-04,337.83,Efectivo
6,6,107,2026-06-08,348.73,Tarjeta
7,10,106,2026-06-08,229.82,Efectivo
8,14,110,2026-06-08,345.42,Transferencia
9,13,106,2026-06-05,259.52,Tarjeta
10,18,108,2026-06-03,432.3,Efectivo
11,2,108,2026-06-09,371.67,Transferencia
12,12,102,2026-06-08,393.04,Efectivo
13,13,102,2026-06-03,446.51,Efectivo
14,4,108,2026-06-10,49.5,Efectivo
15,20,102,2026-06-09,439.99,Efectivo
16,11,106,2026-06-05,364.83,Efectivo
17,5,104,2026-06-04,247.32,Transferencia
18,18,101,2026-06-04,485.23,Transferencia
19,20,100,2026-06-04,402.16,Transferencia
20,20,106,2026-06-10,88.46,Transferencia
21,2,106,2026-06-07,303.12,Transferencia
22,19,101,2026-06-05,498.78,Efectivo
23,3,110,2026-06-07,212.88,Transferencia
24,5,100,2026-06-07,472.29,Efectivo
25,11,103,2026-06-03,90.37,Efectivo
26,10,108,2026-06-11,499.89,Transferencia
27,1,108,2026-06-05,416.76,Tarjeta
28,6,101,2026-06-09,119.23,Efectivo
29,16,108,2026-06-08,374.42,Efectivo
30,13,109,2026-06-06,380.36,Tarjeta
31,2,109,2026-06-12,344.96,Transferencia
32,7,110,2026-06-02,477.9,Efectivo
33,9,103,2026-06-03,158.15,Efectivo
34,5,102,2026-06-03,185.48,Transferencia
35,12,109,2026-06-11,437.5,Tarjeta
36,16,103,2026-06-09,481.58,Transferencia
37,17,108,2026-06-08,37.6,Tarjeta
38,18,105,2026-06-07,97.04,Tarjeta
39,7,106,2026-06-02,63.58,Efectivo
40,12,102,2026-06-08,324.18,Efectivo
41,5,106,2026-06-09,244.7,Transferencia
42,5,109,2026-06-11,416.8,Efectivo
43,17,100,2026-06-11,132.33,Efectivo
44,2,110,2026-06-05,343.2,Transferencia
45,16,110,2026-06-02,428.57,Efectivo
46,4,107,2026-06-10,16.06,Tarjeta
47,4,107,2026-06-06,279.47,Transferencia
48,8,108,2026-06-06,67.28,Tarjeta
49,5,102,2026-06-04,161.62,Transferencia
50,13,102,2026-06-02,118.14,Tarjeta
51,12,103,2026-06-05,63.67,Tarjeta
52,8,102,2026-06-03,390.31,Transferencia
53,15,101,2026-06-08,440.61,Tarjeta
54,2,105,2026-06-05,487.72,Transferencia
55,1,102,2026-06-04,172.57,Tarjeta
56,4,104,2026-06-03,332.34,Transferencia
57,16,101,2026-06-12,94.03,Efectivo
58,19,104,2026-06-03,288.59,Tarjeta
59,19,109,2026-06-10,216.8,Efectivo
60,10,103,2026-06-04,114.27,Tarjeta
61,1,103,2026-06-04,440.15,Efectivo
62,13,104,2026-06-03,397.51,Tarjeta
63,5,100,2026-06-04,86.65,Tarjeta
64,10,101,2026-06-09,325.8,Transferencia
65,17,103,2026-06-05,215.32,Tarjeta
66,9,100,2026-06-07,386.44,Transferencia
67,12,103,2026-06-07,80.83,Efectivo
68,2,100,2026-06-02,425.93,Tarjeta
69,16,103,2026-06-11,53.16,Tarjeta
70,19,103,2026-06-12,134.43,Efectivo
71,12,100,2026-06-10,338.57,Tarjeta
72,10,102,2026-06-10,340.36,Efectivo
73,12,109,2026-06-09,46.28,Efectivo
74,19,103,2026-06-03,225.6,Tarjeta
75,1,110,2026-06-10,102.23,Tarjeta
76,8,106,2026-06-08,203.79,Transferencia
77,2,100,2026-06-11,31.98,Tarjeta
78,8,109,2026-06-04,436.78,Tarjeta
79,15,107,2026-06-12,219.44,Efectivo
80,11,106,2026-06-06,243.03,Efectivo
81,14,105,2026-06-09,466.09,Efectivo
82,7,108,2026-06-02,408.34,Efectivo
83,14,102,2026-06-03,340.25,Efectivo
84,18,104,2026-06-04,54.32,Transferencia
85,11,108,2026-06-05,65.69,Tarjeta
86,2,109,2026-06-07,181.29,Efectivo
87,7,105,2026-06-06,368.5,Transferencia
88,9,110,2026-06-05,216.98,Efectivo
89,16,100,2026-06-11,84.35,Efectivo
90,12,107,2026-06-07,390.54,Tarjeta
91,5,105,2026-06-06,146.47,Efectivo
92,15,106,2026-06-02,469.56,Tarjeta
93,12,102,2026-06-12,224.38,Efectivo
94,19,109,2026-06-02,374.3,Transferencia
95,13,105,2026-06-03,366.02,Tarjeta
96,19,108,2026-06-03,197.87,Tarjeta
97,17,103,2026-06-09,136.8,Efectivo
98,6,109,2026-06-03,38.59,Transferencia
99,4,109,2026-06-11,329.15,Efectivo
100,6,110,2026-06-06,446.52,Efectivo
